city_name,county
ADELANTO,SAN BERNARDINO
AGOURA HILLS,LOS ANGELES
ALAMEDA,ALAMEDA
ALBANY,ALAMEDA
ALHAMBRA,LOS ANGELES
ALISO VIEJO,ORANGE
ALTURAS,MODOC
AMADOR CITY,AMADOR
AMERICAN CANYON,NAPA
ANAHEIM,ORANGE
ANDERSON,SHASTA
ANGELS CAMP,CALAVERAS
ANTIOCH,CONTRA COSTA
APPLE VALLEY,SAN BERNARDINO
ARCADIA,LOS ANGELES
ARCATA,HUMBOLDT
ARROYO GRANDE,SAN LUIS OBISPO
ARTESIA,LOS ANGELES
ARVIN,KERN
ATASCADERO,SAN LUIS OBISPO
ATHERTON,SAN MATEO
ATWATER,MERCED
AUBURN,PLACER
AVALON,LOS ANGELES
AVENAL,KINGS
AZUSA,LOS ANGELES
BAKERSFIELD,KERN
BALDWIN PARK,LOS ANGELES
BANNING,RIVERSIDE
BARSTOW,SAN BERNARDINO
BEAUMONT,RIVERSIDE
BELL,LOS ANGELES
BELL GARDENS,LOS ANGELES
BELLFLOWER,LOS ANGELES
BELMONT,SAN MATEO
BELVEDERE,MARIN
BENICIA,SOLANO
BERKELEY,ALAMEDA
BEVERLY HILLS,LOS ANGELES
BIG BEAR LAKE,SAN BERNARDINO
BIGGS,BUTTE
BISHOP,INYO
BLUE LAKE,HUMBOLDT
BLYTHE,RIVERSIDE
BRADBURY,LOS ANGELES
BRAWLEY,IMPERIAL
BREA,ORANGE
BRENTWOOD,CONTRA COSTA
BRISBANE,SAN MATEO
BUELLTON,SANTA BARBARA
BUENA PARK,ORANGE
BURBANK,LOS ANGELES
BURLINGAME,SAN MATEO
CALABASAS,LOS ANGELES
CALEXICO,IMPERIAL
CALIFORNIA CITY,KERN
CALIMESA,RIVERSIDE
CALIPATRIA,IMPERIAL
CALISTOGA,NAPA
CAMARILLO,VENTURA
CAMPBELL,SANTA CLARA
CANYON LAKE,RIVERSIDE
CAPITOLA,SANTA CRUZ
CARLSBAD,SAN DIEGO
