REGION,DIVISION,STATENAME,STUSABFIPS
NORTHEAST,NEW ENGLAND,MAINE,ME (23)
NORTHEAST,NEW ENGLAND,MASSACHUSETTS,MA (25)
NORTHEAST,NEW ENGLAND,NEW HAMPSHIRE,NH (33)
NORTHEAST,NEW ENGLAND,RHODE ISLAND,RI (44)
NORTHEAST,NEW ENGLAND,VERMONT,VT (50)
NORTHEAST,MIDDLE ATLANTIC,NEW JERSEY,NJ (34)
NORTHEAST,MIDDLE ATLANTIC,NEW YORK,NY (36)
NORTHEAST,MIDDLE ATLANTIC,PENNSYLVANIA,PA (42)
NORTH CENTRAL,EAST NORTH CENTRAL,ILLINOIS,IL (17)
NORTH CENTRAL,EAST NORTH CENTRAL,INDIANA,IN (18)
NORTH CENTRAL,EAST NORTH CENTRAL,MICHIGAN,MI (26)
NORTH CENTRAL,EAST NORTH CENTRAL,OHIO,OH (39)
NORTH CENTRAL,EAST NORTH CENTRAL,WISCONSIN,WI (55)
NORTH CENTRAL,WEST NORTH CENTRAL,IOWA,IA (19)
NORTH CENTRAL,WEST NORTH CENTRAL,KANSAS,KS (20)
NORTH CENTRAL,WEST NORTH CENTRAL,MINNESOTA,MN (27)
NORTH CENTRAL,WEST NORTH CENTRAL,MISSOURI,MO (29)
NORTH CENTRAL,WEST NORTH CENTRAL,NEBRASKA,NE (31)
NORTH CENTRAL,WEST NORTH CENTRAL,NORTH DAKOTA,ND (38)
NORTH CENTRAL,WEST NORTH CENTRAL,SOUTH DAKOTA,SD (46)
SOUTH,SOUTH ATLANTIC,DELAWARE,DE (10)
SOUTH,SOUTH ATLANTIC,DISTRICT OF COLUMBIA,DC (11)
SOUTH,SOUTH ATLANTIC,FLORIDA,FL (12)
SOUTH,SOUTH ATLANTIC,GEORGIA,GA (13)
SOUTH,SOUTH ATLANTIC,MARYLAND,MD (24)
SOUTH,SOUTH ATLANTIC,NORTH CAROLINA,NC (37)
SOUTH,SOUTH ATLANTIC,SOUTH CAROLINA,SC (45)
SOUTH,SOUTH ATLANTIC,VIRGINIA,VA (51)
SOUTH,SOUTH ATLANTIC,WEST VIRGINIA,WV (54)
SOUTH,EAST SOUTH CENTRAL,ALABAMA,AL ( 1)
SOUTH,EAST SOUTH CENTRAL,KENTUCKY,KY (21)
SOUTH,EAST SOUTH CENTRAL,MISSISSIPPI,MS (28)
SOUTH,EAST SOUTH CENTRAL,TENNESSEE,TN (47)
SOUTH,WEST SOUTH CENTRAL,ARKANSAS,AR ( 5)
SOUTH,WEST SOUTH CENTRAL,LOUISIANA,LA (22)
SOUTH,WEST SOUTH CENTRAL,OKLAHOMA,OK (40)
SOUTH,WEST SOUTH CENTRAL,TEXAS,TX (48)
WEST,MOUNTAIN,ARIZONA,AZ ( 4)
WEST,MOUNTAIN,COLORADO,CO ( 8)
WEST,MOUNTAIN,IDAHO,ID (16)
WEST,MOUNTAIN,MONTANA,MT (30)
WEST,MOUNTAIN,NEVADA,NV (32)
WEST,MOUNTAIN,NEW MEXICO,NM (35)
WEST,MOUNTAIN,UTAH,UT (49)
WEST,MOUNTAIN,WYOMING,WY (56)
WEST,PACIFIC,ALASKA,AK ( 2)
WEST,PACIFIC,CALIFORNIA,CA ( 6)
WEST,PACIFIC,HAWAII,HI (15)
WEST,PACIFIC,OREGON,OR (41)
WEST,PACIFIC,WASHINGTON,WA (53) 
